"","x","y","V3"
"1",696514.306977,4115594.3451457,145
"2",696522.056977,4115594.3451457,145
"3",696607.306977,4115594.3451457,145
"4",696611.181977,4115594.3451457,145
"5",696615.056977,4115594.3451457,145
"6",696618.931977,4115594.3451457,145
"7",696704.181977,4115594.3451457,145
"8",696750.681977,4115594.3451457,145
"9",696754.556977,4115594.3451457,145
"10",696758.431977,4115594.3451457,145
"11",696816.556977,4115594.3451457,145
"12",696820.431977,4115594.3451457,145
"13",696824.306977,4115594.3451457,145
"14",696828.181977,4115594.3451457,145
"15",696832.056977,4115594.3451457,145
"16",696835.931977,4115594.3451457,145
"17",696839.806977,4115594.3451457,145
"18",696843.681977,4115594.3451457,145
"19",696847.556977,4115594.3451457,145
"20",696851.431977,4115594.3451457,145
"21",696855.306977,4115594.3451457,145
"22",696859.181977,4115594.3451457,145
"23",696863.056977,4115594.3451457,145
"24",696866.931977,4115594.3451457,145
"25",696870.806977,4115594.3451457,145
"26",696874.681977,4115594.3451457,145
"27",696878.556977,4115594.3451457,145
"28",696882.431977,4115594.3451457,145
"29",696886.306977,4115594.3451457,145
"30",696928.931977,4115594.3451457,145
"31",696932.806977,4115594.3451457,145
"32",696936.681977,4115594.3451457,145
"33",696940.556977,4115594.3451457,145
"34",696944.431977,4115594.3451457,145
"35",696948.306977,4115594.3451457,145
"36",696952.181977,4115594.3451457,145
"37",696956.056977,4115594.3451457,145
"38",696959.931977,4115594.3451457,145
"39",696963.806977,4115594.3451457,145
"40",696967.681977,4115594.3451457,145
"41",696971.556977,4115594.3451457,145
"42",696975.431977,4115594.3451457,145
"43",696979.306977,4115594.3451457,145
"44",696983.181977,4115594.3451457,145
"45",696987.056977,4115594.3451457,145
"46",696990.931977,4115594.3451457,145
"47",696994.806977,4115594.3451457,145
"48",696998.681977,4115594.3451457,145
"49",697002.556977,4115594.3451457,145
"50",697006.431977,4115594.3451457,145
"51",697010.306977,4115594.3451457,145
"52",697014.181977,4115594.3451457,145
"53",697018.056977,4115594.3451457,145
"54",697021.931977,4115594.3451457,145
"55",697025.806977,4115594.3451457,145
"56",697029.681977,4115594.3451457,145
"57",697033.556977,4115594.3451457,145
"58",697037.431977,4115594.3451457,145
"59",697041.306977,4115594.3451457,145
"60",697045.181977,4115594.3451457,145
"61",697083.931977,4115594.3451457,145
"62",697142.056977,4115594.3451457,145
"63",697328.056977,4115594.3451457,145
"64",697331.931977,4115594.3451457,145
"65",697335.806977,4115594.3451457,145
"66",697339.681977,4115594.3451457,145
"67",697343.556977,4115594.3451457,145
"68",697347.431977,4115594.3451457,145
"69",697351.306977,4115594.3451457,145
"70",697355.181977,4115594.3451457,145
"71",697359.056977,4115594.3451457,145
"72",697362.931977,4115594.3451457,145
"73",697366.806977,4115594.3451457,145
"74",697370.681977,4115594.3451457,145
"75",697374.556977,4115594.3451457,145
"76",697378.431977,4115594.3451457,145
"77",697382.306977,4115594.3451457,145
"78",697386.181977,4115594.3451457,145
"79",697390.056977,4115594.3451457,145
"80",697393.931977,4115594.3451457,145
"81",697397.806977,4115594.3451457,145
"82",697401.681977,4115594.3451457,145
"83",697405.556977,4115594.3451457,145
"84",697459.806977,4115594.3451457,145
"85",697463.681977,4115594.3451457,145
"86",697467.556977,4115594.3451457,145
"87",697471.431977,4115594.3451457,145
"88",697475.306977,4115594.3451457,145
"89",697479.181977,4115594.3451457,145
"90",696471.681977,4115590.46971317,145
"91",696487.181977,4115590.46971317,145
"92",696607.306977,4115590.46971317,145
"93",696611.181977,4115590.46971317,145
"94",696615.056977,4115590.46971317,145
"95",696618.931977,4115590.46971317,145
"96",696750.681977,4115590.46971317,145
"97",696754.556977,4115590.46971317,145
"98",696758.431977,4115590.46971317,145
"99",696816.556977,4115590.46971317,145
"100",696820.431977,4115590.46971317,145
"101",696824.306977,4115590.46971317,145
"102",696828.181977,4115590.46971317,145
"103",696832.056977,4115590.46971317,145
"104",696835.931977,4115590.46971317,145
"105",696839.806977,4115590.46971317,145
"106",696843.681977,4115590.46971317,145
"107",696847.556977,4115590.46971317,145
"108",696851.431977,4115590.46971317,145
"109",696855.306977,4115590.46971317,145
"110",696859.181977,4115590.46971317,145
"111",696863.056977,4115590.46971317,145
"112",696866.931977,4115590.46971317,145
"113",696870.806977,4115590.46971317,145
"114",696874.681977,4115590.46971317,145
"115",696878.556977,4115590.46971317,145
"116",696882.431977,4115590.46971317,145
"117",696886.306977,4115590.46971317,145
"118",696890.181977,4115590.46971317,145
"119",696894.056977,4115590.46971317,145
"120",696921.181977,4115590.46971317,145
"121",696925.056977,4115590.46971317,145
"122",696928.931977,4115590.46971317,145
"123",696932.806977,4115590.46971317,145
"124",696936.681977,4115590.46971317,145
"125",696940.556977,4115590.46971317,145
"126",696944.431977,4115590.46971317,145
"127",696948.306977,4115590.46971317,145
"128",696952.181977,4115590.46971317,145
"129",696956.056977,4115590.46971317,145
"130",696959.931977,4115590.46971317,145
"131",696963.806977,4115590.46971317,145
"132",696967.681977,4115590.46971317,145
"133",696971.556977,4115590.46971317,145
"134",696975.431977,4115590.46971317,145
"135",696979.306977,4115590.46971317,145
"136",696983.181977,4115590.46971317,145
"137",696987.056977,4115590.46971317,145
"138",696990.931977,4115590.46971317,145
"139",696994.806977,4115590.46971317,145
"140",696998.681977,4115590.46971317,145
"141",697002.556977,4115590.46971317,145
"142",697006.431977,4115590.46971317,145
"143",697010.306977,4115590.46971317,145
"144",697014.181977,4115590.46971317,145
"145",697018.056977,4115590.46971317,145
"146",697021.931977,4115590.46971317,145
"147",697025.806977,4115590.46971317,145
"148",697029.681977,4115590.46971317,145
"149",697033.556977,4115590.46971317,145
"150",697037.431977,4115590.46971317,145
"151",697041.306977,4115590.46971317,145
"152",697045.181977,4115590.46971317,145
"153",697095.556977,4115590.46971317,145
"154",697145.931977,4115590.46971317,145
"155",697328.056977,4115590.46971317,145
"156",697331.931977,4115590.46971317,145
"157",697335.806977,4115590.46971317,145
"158",697339.681977,4115590.46971317,145
"159",697343.556977,4115590.46971317,145
"160",697347.431977,4115590.46971317,145
"161",697351.306977,4115590.46971317,145
"162",697355.181977,4115590.46971317,145
"163",697359.056977,4115590.46971317,145
"164",697362.931977,4115590.46971317,145
"165",697366.806977,4115590.46971317,145
"166",697370.681977,4115590.46971317,145
"167",697374.556977,4115590.46971317,145
"168",697378.431977,4115590.46971317,145
"169",697382.306977,4115590.46971317,145
"170",697386.181977,4115590.46971317,145
"171",697390.056977,4115590.46971317,145
"172",697393.931977,4115590.46971317,145
"173",697397.806977,4115590.46971317,145
"174",697401.681977,4115590.46971317,145
"175",697405.556977,4115590.46971317,145
"176",697409.431977,4115590.46971317,145
"177",697413.306977,4115590.46971317,145
"178",697455.931977,4115590.46971317,145
"179",697459.806977,4115590.46971317,145
"180",697463.681977,4115590.46971317,145
"181",697467.556977,4115590.46971317,145
"182",697471.431977,4115590.46971317,145
"183",697475.306977,4115590.46971317,145
"184",697479.181977,4115590.46971317,145
"185",697483.056977,4115590.46971317,145
"186",697498.556977,4115590.46971317,145
"187",697579.931977,4115590.46971317,145
"188",697583.806977,4115590.46971317,145
"189",697587.681977,4115590.46971317,145
"190",697591.556977,4115590.46971317,145
"191",697595.431977,4115590.46971317,145
"192",696471.681977,4115586.59428064,145
"193",696475.556977,4115586.59428064,145
"194",696479.431977,4115586.59428064,145
"195",696483.306977,4115586.59428064,145
"196",696487.181977,4115586.59428064,145
"197",696607.306977,4115586.59428064,145
"198",696700.306977,4115586.59428064,145
"199",696750.681977,4115586.59428064,145
"200",696754.556977,4115586.59428064,145
"201",696758.431977,4115586.59428064,145
"202",696816.556977,4115586.59428064,145
"203",696820.431977,4115586.59428064,145
"204",696824.306977,4115586.59428064,145
"205",696828.181977,4115586.59428064,145
"206",696832.056977,4115586.59428064,145
"207",696835.931977,4115586.59428064,145
"208",696839.806977,4115586.59428064,145
"209",696843.681977,4115586.59428064,145
"210",696847.556977,4115586.59428064,145
"211",696851.431977,4115586.59428064,145
"212",696855.306977,4115586.59428064,145
"213",696859.181977,4115586.59428064,145
"214",696863.056977,4115586.59428064,145
"215",696866.931977,4115586.59428064,145
"216",696870.806977,4115586.59428064,145
"217",696874.681977,4115586.59428064,145
"218",696878.556977,4115586.59428064,145
"219",696882.431977,4115586.59428064,145
"220",696886.306977,4115586.59428064,145
"221",696890.181977,4115586.59428064,145
"222",696894.056977,4115586.59428064,145
"223",696897.931977,4115586.59428064,145
"224",696901.806977,4115586.59428064,145
"225",696905.681977,4115586.59428064,145
"226",696909.556977,4115586.59428064,145
"227",696913.431977,4115586.59428064,145
"228",696917.306977,4115586.59428064,145
"229",696921.181977,4115586.59428064,145
"230",696925.056977,4115586.59428064,145
"231",696928.931977,4115586.59428064,145
"232",696932.806977,4115586.59428064,145
"233",696936.681977,4115586.59428064,145
"234",696940.556977,4115586.59428064,145
"235",696944.431977,4115586.59428064,145
"236",696948.306977,4115586.59428064,145
"237",696952.181977,4115586.59428064,145
"238",696956.056977,4115586.59428064,145
"239",696959.931977,4115586.59428064,145
"240",696963.806977,4115586.59428064,145
"241",696967.681977,4115586.59428064,145
"242",696971.556977,4115586.59428064,145
"243",696975.431977,4115586.59428064,145
"244",696979.306977,4115586.59428064,145
"245",696983.181977,4115586.59428064,145
"246",696987.056977,4115586.59428064,145
"247",696990.931977,4115586.59428064,145
"248",696994.806977,4115586.59428064,145
"249",696998.681977,4115586.59428064,145
"250",697002.556977,4115586.59428064,145
"251",697006.431977,4115586.59428064,145
"252",697037.431977,4115586.59428064,145
"253",697041.306977,4115586.59428064,145
"254",697045.181977,4115586.59428064,145
"255",697049.056977,4115586.59428064,145
"256",697064.556977,4115586.59428064,145
"257",697076.181977,4115586.59428064,145
"258",697149.806977,4115586.59428064,145
"259",697153.681977,4115586.59428064,145
"260",697157.556977,4115586.59428064,145
"261",697161.431977,4115586.59428064,145
"262",697165.306977,4115586.59428064,145
"263",697169.181977,4115586.59428064,145
"264",697173.056977,4115586.59428064,145
"265",697176.931977,4115586.59428064,145
"266",697328.056977,4115586.59428064,145
"267",697331.931977,4115586.59428064,145
"268",697335.806977,4115586.59428064,145
"269",697339.681977,4115586.59428064,145
"270",697343.556977,4115586.59428064,145
"271",697347.431977,4115586.59428064,145
"272",697351.306977,4115586.59428064,145
"273",697355.181977,4115586.59428064,145
"274",697359.056977,4115586.59428064,145
"275",697362.931977,4115586.59428064,145
"276",697366.806977,4115586.59428064,145
"277",697370.681977,4115586.59428064,145
"278",697374.556977,4115586.59428064,145
"279",697378.431977,4115586.59428064,145
"280",697382.306977,4115586.59428064,145
"281",697386.181977,4115586.59428064,145
"282",697390.056977,4115586.59428064,145
"283",697393.931977,4115586.59428064,145
"284",697397.806977,4115586.59428064,145
"285",697401.681977,4115586.59428064,145
"286",697405.556977,4115586.59428064,145
"287",697409.431977,4115586.59428064,145
"288",697413.306977,4115586.59428064,145
"289",697417.181977,4115586.59428064,145
"290",697421.056977,4115586.59428064,145
"291",697424.931977,4115586.59428064,145
"292",697428.806977,4115586.59428064,145
"293",697432.681977,4115586.59428064,145
"294",697436.556977,4115586.59428064,145
"295",697440.431977,4115586.59428064,145
"296",697444.306977,4115586.59428064,145
"297",697448.181977,4115586.59428064,145
"298",697452.056977,4115586.59428064,145
"299",697455.931977,4115586.59428064,145
"300",697459.806977,4115586.59428064,145
"301",697463.681977,4115586.59428064,145
"302",697467.556977,4115586.59428064,145
"303",697471.431977,4115586.59428064,145
"304",697475.306977,4115586.59428064,145
"305",697479.181977,4115586.59428064,145
"306",697537.306977,4115586.59428064,145
"307",697541.181977,4115586.59428064,145
"308",697599.306977,4115586.59428064,145
"309",697603.181977,4115586.59428064,145
"310",697607.056977,4115586.59428064,145
"311",697610.931977,4115586.59428064,145
"312",697614.806977,4115586.59428064,145
"313",696475.556977,4115582.71884812,145
"314",696479.431977,4115582.71884812,145
"315",696483.306977,4115582.71884812,145
"316",696487.181977,4115582.71884812,145
"317",696607.306977,4115582.71884812,145
"318",696700.306977,4115582.71884812,145
"319",696746.806977,4115582.71884812,145
"320",696750.681977,4115582.71884812,145
"321",696754.556977,4115582.71884812,145
"322",696758.431977,4115582.71884812,145
"323",696816.556977,4115582.71884812,145
"324",696820.431977,4115582.71884812,145
"325",696824.306977,4115582.71884812,145
"326",696828.181977,4115582.71884812,145
"327",696832.056977,4115582.71884812,145
"328",696835.931977,4115582.71884812,145
"329",696839.806977,4115582.71884812,145
"330",696843.681977,4115582.71884812,145
"331",696847.556977,4115582.71884812,145
"332",696851.431977,4115582.71884812,145
"333",696855.306977,4115582.71884812,145
"334",696859.181977,4115582.71884812,145
"335",696863.056977,4115582.71884812,145
"336",696866.931977,4115582.71884812,145
"337",696870.806977,4115582.71884812,145
"338",696874.681977,4115582.71884812,145
"339",696878.556977,4115582.71884812,145
"340",696882.431977,4115582.71884812,145
"341",696886.306977,4115582.71884812,145
"342",696890.181977,4115582.71884812,145
"343",696894.056977,4115582.71884812,145
"344",696897.931977,4115582.71884812,145
"345",696901.806977,4115582.71884812,145
"346",696905.681977,4115582.71884812,145
"347",696909.556977,4115582.71884812,145
"348",696913.431977,4115582.71884812,145
"349",696917.306977,4115582.71884812,145
"350",696921.181977,4115582.71884812,145
"351",696925.056977,4115582.71884812,145
"352",696928.931977,4115582.71884812,145
"353",696932.806977,4115582.71884812,145
"354",696936.681977,4115582.71884812,145
"355",696940.556977,4115582.71884812,145
"356",696944.431977,4115582.71884812,145
"357",696948.306977,4115582.71884812,145
"358",696952.181977,4115582.71884812,145
"359",696956.056977,4115582.71884812,145
"360",696959.931977,4115582.71884812,145
"361",696963.806977,4115582.71884812,145
"362",696967.681977,4115582.71884812,145
"363",696971.556977,4115582.71884812,145
"364",696975.431977,4115582.71884812,145
"365",696979.306977,4115582.71884812,145
"366",696983.181977,4115582.71884812,145
