"","x","y","V3"
"1",696506.556977,4114815.38320798,214
"2",695995.056977,4114811.50777545,214
"3",696188.806977,4114811.50777545,214
"4",696215.931977,4114811.50777545,214
"5",696235.306977,4114811.50777545,214
"6",696343.806977,4114811.50777545,214
"7",696394.181977,4114811.50777545,214
"8",696398.056977,4114811.50777545,214
"9",696401.931977,4114811.50777545,214
"10",696413.556977,4114811.50777545,214
"11",695995.056977,4114807.63234293,214
"12",696188.806977,4114807.63234293,214
"13",696235.306977,4114807.63234293,214
"14",696343.806977,4114807.63234293,214
"15",696398.056977,4114807.63234293,214
"16",695979.556977,4114803.7569104,214
"17",695995.056977,4114803.7569104,214
"18",696188.806977,4114803.7569104,214
"19",696235.306977,4114803.7569104,214
"20",696239.181977,4114803.7569104,214
"21",695995.056977,4114799.88147788,214
"22",695998.931977,4114799.88147788,214
"23",696002.806977,4114799.88147788,214
"24",696188.806977,4114799.88147788,214
"25",696235.306977,4114799.88147788,214
"26",696239.181977,4114799.88147788,214
"27",696243.056977,4114799.88147788,214
"28",696246.931977,4114799.88147788,214
"29",696440.681977,4114799.88147788,214
"30",695995.056977,4114796.00604535,214
"31",696231.431977,4114796.00604535,214
"32",696452.306977,4114796.00604535,214
"33",695995.056977,4114792.13061282,214
"34",696196.556977,4114792.13061282,214
"35",695995.056977,4114788.2551803,214
"36",696196.556977,4114788.2551803,214
"37",696355.431977,4114788.2551803,214
"38",696359.306977,4114788.2551803,214
"39",696467.806977,4114788.2551803,214
"40",696471.681977,4114788.2551803,214
"41",696475.556977,4114788.2551803,214
"42",696479.431977,4114788.2551803,214
"43",695983.431977,4114784.37974777,214
"44",695987.306977,4114784.37974777,214
"45",695991.181977,4114784.37974777,214
"46",696351.556977,4114784.37974777,214
"47",696355.431977,4114784.37974777,214
"48",696359.306977,4114784.37974777,214
"49",696347.681977,4114780.50431525,214
"50",696351.556977,4114780.50431525,214
"51",696355.431977,4114780.50431525,214
"52",696359.306977,4114780.50431525,214
"53",696463.931977,4114780.50431525,214
"54",696525.931977,4114780.50431525,214
"55",696529.806977,4114780.50431525,214
"56",696533.681977,4114780.50431525,214
"57",696537.556977,4114780.50431525,214
"58",696541.431977,4114780.50431525,214
"59",696545.306977,4114780.50431525,214
"60",696549.181977,4114780.50431525,214
"61",696553.056977,4114780.50431525,214
"62",696556.931977,4114780.50431525,214
"63",696560.806977,4114780.50431525,214
"64",696150.056977,4114776.62888272,214
"65",696153.931977,4114776.62888272,214
"66",696157.806977,4114776.62888272,214
"67",696161.681977,4114776.62888272,214
"68",696165.556977,4114776.62888272,214
"69",696347.681977,4114776.62888272,214
"70",696363.181977,4114776.62888272,214
"71",696525.931977,4114776.62888272,214
"72",696529.806977,4114776.62888272,214
"73",696545.306977,4114776.62888272,214
"74",696549.181977,4114776.62888272,214
"75",696553.056977,4114776.62888272,214
"76",696556.931977,4114776.62888272,214
"77",696560.806977,4114776.62888272,214
"78",696126.806977,4114772.75345019,214
"79",696146.181977,4114772.75345019,214
"80",696173.306977,4114772.75345019,214
"81",696181.056977,4114772.75345019,214
"82",696347.681977,4114772.75345019,214
"83",696363.181977,4114772.75345019,214
"84",696483.306977,4114772.75345019,214
"85",696525.931977,4114772.75345019,214
"86",696549.181977,4114772.75345019,214
"87",696553.056977,4114772.75345019,214
"88",696556.931977,4114772.75345019,214
"89",696560.806977,4114772.75345019,214
"90",696587.931977,4114772.75345019,214
"91",696591.806977,4114772.75345019,214
"92",696595.681977,4114772.75345019,214
"93",695971.806977,4114768.87801767,214
"94",696223.681977,4114768.87801767,214
"95",696347.681977,4114768.87801767,214
"96",696363.181977,4114768.87801767,214
"97",696525.931977,4114768.87801767,214
"98",696549.181977,4114768.87801767,214
"99",696553.056977,4114768.87801767,214
"100",696556.931977,4114768.87801767,214
"101",696560.806977,4114768.87801767,214
"102",696584.056977,4114768.87801767,214
"103",696587.931977,4114768.87801767,214
"104",696591.806977,4114768.87801767,214
"105",696595.681977,4114768.87801767,214
"106",696599.556977,4114768.87801767,214
"107",696111.306977,4114765.00258514,214
"108",696219.806977,4114765.00258514,214
"109",696347.681977,4114765.00258514,214
"110",696367.056977,4114765.00258514,214
"111",696525.931977,4114765.00258514,214
"112",696549.181977,4114765.00258514,214
"113",696553.056977,4114765.00258514,214
"114",696556.931977,4114765.00258514,214
"115",696584.056977,4114765.00258514,214
"116",696587.931977,4114765.00258514,214
"117",696591.806977,4114765.00258514,214
"118",696595.681977,4114765.00258514,214
"119",696599.556977,4114765.00258514,214
"120",696603.431977,4114765.00258514,214
"121",696103.556977,4114761.12715262,214
"122",696215.931977,4114761.12715262,214
"123",696347.681977,4114761.12715262,214
"124",696367.056977,4114761.12715262,214
"125",696525.931977,4114761.12715262,214
"126",696529.806977,4114761.12715262,214
"127",696545.306977,4114761.12715262,214
"128",696549.181977,4114761.12715262,214
"129",696584.056977,4114761.12715262,214
"130",696587.931977,4114761.12715262,214
"131",696591.806977,4114761.12715262,214
"132",696595.681977,4114761.12715262,214
"133",696599.556977,4114761.12715262,214
"134",696603.431977,4114761.12715262,214
"135",696607.306977,4114761.12715262,214
"136",695983.431977,4114757.25172009,214
"137",696212.056977,4114757.25172009,214
"138",696215.931977,4114757.25172009,214
"139",696347.681977,4114757.25172009,214
"140",696529.806977,4114757.25172009,214
"141",696533.681977,4114757.25172009,214
"142",696537.556977,4114757.25172009,214
"143",696541.431977,4114757.25172009,214
"144",696545.306977,4114757.25172009,214
"145",696584.056977,4114757.25172009,214
"146",696587.931977,4114757.25172009,214
"147",696591.806977,4114757.25172009,214
"148",696595.681977,4114757.25172009,214
"149",696599.556977,4114757.25172009,214
