"","x","y","V3"
"1",695359.556977,4116249.29324258,210
"2",695363.431977,4116249.29324258,210
"3",695367.306977,4116249.29324258,210
"4",695371.181977,4116249.29324258,210
"5",695375.056977,4116249.29324258,210
"6",695347.931977,4116237.666945,210
"7",695406.056977,4116237.666945,210
"8",695347.931977,4116233.79151248,210
"9",695406.056977,4116233.79151248,210
"10",695347.931977,4116229.91607995,210
"11",695351.806977,4116229.91607995,210
"12",695355.681977,4116229.91607995,210
"13",695359.556977,4116229.91607995,210
"14",695363.431977,4116229.91607995,210
"15",695367.306977,4116229.91607995,210
"16",695371.181977,4116229.91607995,210
"17",695375.056977,4116229.91607995,210
"18",695378.931977,4116229.91607995,210
"19",695382.806977,4116229.91607995,210
"20",695386.681977,4116229.91607995,210
"21",695406.056977,4116229.91607995,210
"22",695382.806977,4116226.04064743,210
"23",695386.681977,4116226.04064743,210
"24",695390.556977,4116226.04064743,210
"25",695223.931977,4116222.1652149,210
"26",695231.681977,4116222.1652149,210
"27",695235.556977,4116222.1652149,210
"28",695320.806977,4116222.1652149,210
"29",695324.681977,4116222.1652149,210
"30",695386.681977,4116222.1652149,210
"31",695092.181977,4116218.28978237,210
"32",695146.431977,4116218.28978237,210
"33",695169.681977,4116218.28978237,210
"34",695216.181977,4116218.28978237,210
"35",695239.431977,4116218.28978237,210
"36",695309.181977,4116218.28978237,210
"37",695313.056977,4116218.28978237,210
"38",695316.931977,4116218.28978237,210
"39",695320.806977,4116218.28978237,210
"40",695324.681977,4116218.28978237,210
"41",695328.556977,4116218.28978237,210
"42",695386.681977,4116218.28978237,210
"43",695142.556977,4116214.41434985,210
"44",695173.556977,4116214.41434985,210
"45",695212.306977,4116214.41434985,210
"46",695239.431977,4116214.41434985,210
"47",695309.181977,4116214.41434985,210
"48",695313.056977,4116214.41434985,210
"49",695316.931977,4116214.41434985,210
"50",695320.806977,4116214.41434985,210
"51",695386.681977,4116214.41434985,210
"52",695130.931977,4116210.53891732,210
"53",695134.806977,4116210.53891732,210
"54",695138.681977,4116210.53891732,210
"55",695177.431977,4116210.53891732,210
"56",695181.306977,4116210.53891732,210
"57",695185.181977,4116210.53891732,210
"58",695189.056977,4116210.53891732,210
"59",695192.931977,4116210.53891732,210
"60",695196.806977,4116210.53891732,210
"61",695200.681977,4116210.53891732,210
"62",695204.556977,4116210.53891732,210
"63",695208.431977,4116210.53891732,210
"64",695239.431977,4116210.53891732,210
"65",695309.181977,4116210.53891732,210
"66",695313.056977,4116210.53891732,210
"67",695316.931977,4116210.53891732,210
"68",695320.806977,4116210.53891732,210
"69",695386.681977,4116210.53891732,210
"70",695127.056977,4116206.6634848,210
"71",695130.931977,4116206.6634848,210
"72",695134.806977,4116206.6634848,210
"73",695138.681977,4116206.6634848,210
"74",695196.806977,4116206.6634848,210
"75",695200.681977,4116206.6634848,210
"76",695204.556977,4116206.6634848,210
"77",695208.431977,4116206.6634848,210
"78",695305.306977,4116206.6634848,210
"79",695320.806977,4116206.6634848,210
"80",695386.681977,4116206.6634848,210
"81",695092.181977,4116202.78805227,210
"82",695127.056977,4116202.78805227,210
"83",695130.931977,4116202.78805227,210
"84",695134.806977,4116202.78805227,210
"85",695138.681977,4116202.78805227,210
"86",695196.806977,4116202.78805227,210
"87",695200.681977,4116202.78805227,210
"88",695204.556977,4116202.78805227,210
"89",695208.431977,4116202.78805227,210
"90",695235.556977,4116202.78805227,210
"91",695305.306977,4116202.78805227,210
"92",695324.681977,4116202.78805227,210
"93",695386.681977,4116202.78805227,210
"94",695068.931977,4116198.91261974,210
"95",695099.931977,4116198.91261974,210
"96",695103.806977,4116198.91261974,210
"97",695107.681977,4116198.91261974,210
"98",695111.556977,4116198.91261974,210
"99",695115.431977,4116198.91261974,210
"100",695119.306977,4116198.91261974,210
"101",695123.181977,4116198.91261974,210
"102",695127.056977,4116198.91261974,210
"103",695130.931977,4116198.91261974,210
"104",695134.806977,4116198.91261974,210
"105",695138.681977,4116198.91261974,210
"106",695200.681977,4116198.91261974,210
"107",695204.556977,4116198.91261974,210
"108",695208.431977,4116198.91261974,210
"109",695212.306977,4116198.91261974,210
"110",695216.181977,4116198.91261974,210
"111",695220.056977,4116198.91261974,210
"112",695223.931977,4116198.91261974,210
"113",695227.806977,4116198.91261974,210
"114",695231.681977,4116198.91261974,210
"115",695235.556977,4116198.91261974,210
"116",695328.556977,4116198.91261974,210
"117",695386.681977,4116198.91261974,210
"118",695068.931977,4116195.03718722,210
"119",695099.931977,4116195.03718722,210
"120",695103.806977,4116195.03718722,210
"121",695107.681977,4116195.03718722,210
"122",695111.556977,4116195.03718722,210
"123",695115.431977,4116195.03718722,210
"124",695119.306977,4116195.03718722,210
"125",695123.181977,4116195.03718722,210
"126",695127.056977,4116195.03718722,210
"127",695130.931977,4116195.03718722,210
"128",695134.806977,4116195.03718722,210
"129",695138.681977,4116195.03718722,210
"130",695196.806977,4116195.03718722,210
"131",695200.681977,4116195.03718722,210
"132",695301.431977,4116195.03718722,210
"133",695332.431977,4116195.03718722,210
"134",695386.681977,4116195.03718722,210
"135",695068.931977,4116191.16175469,210
"136",695072.806977,4116191.16175469,210
"137",695096.056977,4116191.16175469,210
"138",695099.931977,4116191.16175469,210
"139",695103.806977,4116191.16175469,210
"140",695107.681977,4116191.16175469,210
"141",695111.556977,4116191.16175469,210
"142",695115.431977,4116191.16175469,210
"143",695119.306977,4116191.16175469,210
"144",695123.181977,4116191.16175469,210
"145",695127.056977,4116191.16175469,210
"146",695130.931977,4116191.16175469,210
"147",695134.806977,4116191.16175469,210
"148",695138.681977,4116191.16175469,210
"149",695142.556977,4116191.16175469,210
"150",695192.931977,4116191.16175469,210
"151",695196.806977,4116191.16175469,210
"152",695200.681977,4116191.16175469,210
"153",695336.306977,4116191.16175469,210
"154",695340.181977,4116191.16175469,210
"155",695344.056977,4116191.16175469,210
"156",695347.931977,4116191.16175469,210
"157",695351.806977,4116191.16175469,210
"158",695355.681977,4116191.16175469,210
"159",695386.681977,4116191.16175469,210
"160",695390.556977,4116191.16175469,210
"161",695068.931977,4116187.28632217,210
"162",695088.306977,4116187.28632217,210
"163",695092.181977,4116187.28632217,210
"164",695096.056977,4116187.28632217,210
"165",695099.931977,4116187.28632217,210
"166",695103.806977,4116187.28632217,210
"167",695107.681977,4116187.28632217,210
"168",695111.556977,4116187.28632217,210
"169",695115.431977,4116187.28632217,210
"170",695119.306977,4116187.28632217,210
"171",695123.181977,4116187.28632217,210
"172",695127.056977,4116187.28632217,210
"173",695130.931977,4116187.28632217,210
"174",695134.806977,4116187.28632217,210
"175",695138.681977,4116187.28632217,210
"176",695142.556977,4116187.28632217,210
"177",695146.431977,4116187.28632217,210
"178",695150.306977,4116187.28632217,210
"179",695154.181977,4116187.28632217,210
"180",695158.056977,4116187.28632217,210
"181",695189.056977,4116187.28632217,210
"182",695192.931977,4116187.28632217,210
"183",695196.806977,4116187.28632217,210
"184",695200.681977,4116187.28632217,210
"185",695297.556977,4116187.28632217,210
"186",695359.556977,4116187.28632217,210
"187",695386.681977,4116187.28632217,210
"188",695390.556977,4116187.28632217,210
"189",695394.431977,4116187.28632217,210
"190",695398.306977,4116187.28632217,210
"191",695068.931977,4116183.41088964,210
"192",695103.806977,4116183.41088964,210
"193",695107.681977,4116183.41088964,210
"194",695111.556977,4116183.41088964,210
"195",695115.431977,4116183.41088964,210
"196",695119.306977,4116183.41088964,210
"197",695146.431977,4116183.41088964,210
"198",695150.306977,4116183.41088964,210
"199",695154.181977,4116183.41088964,210
"200",695158.056977,4116183.41088964,210
"201",695189.056977,4116183.41088964,210
"202",695192.931977,4116183.41088964,210
"203",695196.806977,4116183.41088964,210
"204",695200.681977,4116183.41088964,210
"205",695363.431977,4116183.41088964,210
"206",695382.806977,4116183.41088964,210
"207",695386.681977,4116183.41088964,210
"208",695390.556977,4116183.41088964,210
"209",695394.431977,4116183.41088964,210
"210",695398.306977,4116183.41088964,210
"211",695107.681977,4116179.53545711,210
"212",695111.556977,4116179.53545711,210
"213",695115.431977,4116179.53545711,210
"214",695119.306977,4116179.53545711,210
"215",695146.431977,4116179.53545711,210
"216",695150.306977,4116179.53545711,210
"217",695154.181977,4116179.53545711,210
"218",695158.056977,4116179.53545711,210
"219",695161.931977,4116179.53545711,210
"220",695165.806977,4116179.53545711,210
"221",695169.681977,4116179.53545711,210
"222",695173.556977,4116179.53545711,210
"223",695177.431977,4116179.53545711,210
"224",695181.306977,4116179.53545711,210
"225",695185.181977,4116179.53545711,210
"226",695189.056977,4116179.53545711,210
"227",695192.931977,4116179.53545711,210
"228",695196.806977,4116179.53545711,210
"229",695200.681977,4116179.53545711,210
"230",695367.306977,4116179.53545711,210
"231",695371.181977,4116179.53545711,210
"232",695375.056977,4116179.53545711,210
"233",695378.931977,4116179.53545711,210
"234",695382.806977,4116179.53545711,210
"235",695386.681977,4116179.53545711,210
"236",695390.556977,4116179.53545711,210
"237",695394.431977,4116179.53545711,210
"238",695398.306977,4116179.53545711,210
"239",695068.931977,4116175.66002459,210
"240",695103.806977,4116175.66002459,210
"241",695107.681977,4116175.66002459,210
"242",695111.556977,4116175.66002459,210
"243",695115.431977,4116175.66002459,210
"244",695119.306977,4116175.66002459,210
"245",695146.431977,4116175.66002459,210
"246",695150.306977,4116175.66002459,210
"247",695154.181977,4116175.66002459,210
"248",695158.056977,4116175.66002459,210
"249",695161.931977,4116175.66002459,210
"250",695165.806977,4116175.66002459,210
"251",695169.681977,4116175.66002459,210
"252",695173.556977,4116175.66002459,210
"253",695367.306977,4116175.66002459,210
"254",695371.181977,4116175.66002459,210
"255",695375.056977,4116175.66002459,210
"256",695378.931977,4116175.66002459,210
"257",695382.806977,4116175.66002459,210
"258",695394.431977,4116175.66002459,210
"259",695398.306977,4116175.66002459,210
"260",695068.931977,4116171.78459206,210
"261",695088.306977,4116171.78459206,210
"262",695092.181977,4116171.78459206,210
"263",695096.056977,4116171.78459206,210
"264",695099.931977,4116171.78459206,210
"265",695103.806977,4116171.78459206,210
"266",695107.681977,4116171.78459206,210
"267",695111.556977,4116171.78459206,210
"268",695115.431977,4116171.78459206,210
"269",695119.306977,4116171.78459206,210
"270",695123.181977,4116171.78459206,210
"271",695127.056977,4116171.78459206,210
"272",695130.931977,4116171.78459206,210
"273",695134.806977,4116171.78459206,210
"274",695138.681977,4116171.78459206,210
"275",695142.556977,4116171.78459206,210
"276",695146.431977,4116171.78459206,210
"277",695150.306977,4116171.78459206,210
"278",695154.181977,4116171.78459206,210
"279",695158.056977,4116171.78459206,210
"280",695161.931977,4116171.78459206,210
"281",695165.806977,4116171.78459206,210
"282",695169.681977,4116171.78459206,210
"283",695367.306977,4116171.78459206,210
"284",695371.181977,4116171.78459206,210
"285",695375.056977,4116171.78459206,210
"286",695378.931977,4116171.78459206,210
"287",695398.306977,4116171.78459206,210
"288",695065.056977,4116167.90915954,210
"289",695068.931977,4116167.90915954,210
"290",695072.806977,4116167.90915954,210
"291",695076.681977,4116167.90915954,210
"292",695080.556977,4116167.90915954,210
"293",695084.431977,4116167.90915954,210
"294",695088.306977,4116167.90915954,210
"295",695092.181977,4116167.90915954,210
"296",695096.056977,4116167.90915954,210
"297",695099.931977,4116167.90915954,210
"298",695103.806977,4116167.90915954,210
"299",695107.681977,4116167.90915954,210
"300",695111.556977,4116167.90915954,210
"301",695115.431977,4116167.90915954,210
"302",695119.306977,4116167.90915954,210
"303",695123.181977,4116167.90915954,210
"304",695127.056977,4116167.90915954,210
"305",695130.931977,4116167.90915954,210
"306",695134.806977,4116167.90915954,210
"307",695138.681977,4116167.90915954,210
"308",695142.556977,4116167.90915954,210
"309",695146.431977,4116167.90915954,210
"310",695150.306977,4116167.90915954,210
"311",695154.181977,4116167.90915954,210
"312",695158.056977,4116167.90915954,210
"313",695161.931977,4116167.90915954,210
"314",695165.806977,4116167.90915954,210
"315",695169.681977,4116167.90915954,210
"316",695367.306977,4116167.90915954,210
"317",695371.181977,4116167.90915954,210
"318",695375.056977,4116167.90915954,210
"319",695378.931977,4116167.90915954,210
"320",695398.306977,4116167.90915954,210
"321",695402.181977,4116167.90915954,210
"322",695406.056977,4116167.90915954,210
"323",695065.056977,4116164.03372701,210
"324",695068.931977,4116164.03372701,210
"325",695072.806977,4116164.03372701,210
"326",695076.681977,4116164.03372701,210
"327",695080.556977,4116164.03372701,210
"328",695084.431977,4116164.03372701,210
"329",695088.306977,4116164.03372701,210
"330",695092.181977,4116164.03372701,210
"331",695096.056977,4116164.03372701,210
"332",695099.931977,4116164.03372701,210
"333",695103.806977,4116164.03372701,210
"334",695107.681977,4116164.03372701,210
"335",695111.556977,4116164.03372701,210
"336",695115.431977,4116164.03372701,210
"337",695119.306977,4116164.03372701,210
"338",695123.181977,4116164.03372701,210
"339",695127.056977,4116164.03372701,210
"340",695130.931977,4116164.03372701,210
"341",695134.806977,4116164.03372701,210
"342",695138.681977,4116164.03372701,210
"343",695142.556977,4116164.03372701,210
"344",695146.431977,4116164.03372701,210
"345",695150.306977,4116164.03372701,210
"346",695154.181977,4116164.03372701,210
"347",695158.056977,4116164.03372701,210
"348",695161.931977,4116164.03372701,210
"349",695165.806977,4116164.03372701,210
"350",695169.681977,4116164.03372701,210
"351",695367.306977,4116164.03372701,210
"352",695371.181977,4116164.03372701,210
"353",695375.056977,4116164.03372701,210
"354",695378.931977,4116164.03372701,210
"355",695406.056977,4116164.03372701,210
"356",695409.931977,4116164.03372701,210
"357",695057.306977,4116160.15829448,210
"358",695061.181977,4116160.15829448,210
"359",695065.056977,4116160.15829448,210
"360",695068.931977,4116160.15829448,210
"361",695072.806977,4116160.15829448,210
"362",695076.681977,4116160.15829448,210
"363",695080.556977,4116160.15829448,210
"364",695084.431977,4116160.15829448,210
"365",695088.306977,4116160.15829448,210
"366",695092.181977,4116160.15829448,210
"367",695096.056977,4116160.15829448,210
"368",695099.931977,4116160.15829448,210
"369",695103.806977,4116160.15829448,210
"370",695107.681977,4116160.15829448,210
"371",695111.556977,4116160.15829448,210
"372",695115.431977,4116160.15829448,210
"373",695119.306977,4116160.15829448,210
"374",695123.181977,4116160.15829448,210
"375",695127.056977,4116160.15829448,210
"376",695130.931977,4116160.15829448,210
"377",695134.806977,4116160.15829448,210
"378",695138.681977,4116160.15829448,210
"379",695142.556977,4116160.15829448,210
"380",695146.431977,4116160.15829448,210
"381",695150.306977,4116160.15829448,210
"382",695154.181977,4116160.15829448,210
"383",695158.056977,4116160.15829448,210
"384",695161.931977,4116160.15829448,210
"385",695165.806977,4116160.15829448,210
"386",695169.681977,4116160.15829448,210
"387",695227.806977,4116160.15829448,210
"388",695231.681977,4116160.15829448,210
"389",695235.556977,4116160.15829448,210
"390",695239.431977,4116160.15829448,210
"391",695243.306977,4116160.15829448,210
"392",695247.181977,4116160.15829448,210
"393",695367.306977,4116160.15829448,210
"394",695371.181977,4116160.15829448,210
